image,class_x,candidate_num,rating,class_index,centre,radius,blob_score,blob_contrast,blob_brightness,blob_response,final_score,vessel_centre
normal_0004_EDD,normal,1,4,1,"[225.0, 272.0]",35.918785545899944,0.7390765726566314,0.03220987319946289,0.9804289937019348,-0.10283201932907104,-7.120340301270794,"[512.0, 220.0]"
normal_0005_EDD,normal,1,4,2,"[247.0, 149.0]",35.918785545899944,0.49926390945911403,0.03132838010787964,0.6654320359230042,-0.010665521025657654,-2.8678378685465096,"[117.0, 198.0]"
normal_0006_EDD,normal,1,4,3,"[224.0, 289.0]",35.918785545899944,0.6252746194601059,0.035278260707855225,0.8396366238594055,-0.011253610253334045,-3.5098310365625167,"[360.0, 201.0]"
normal_0006_EDD,normal,2,4,4,"[262.0, 201.0]",45.254833995939045,0.7288967072963713,0.0716826319694519,0.916622519493103,-0.07789155840873718,-1.1655145173838015,"[360.0, 201.0]"
normal_0008_EDD,normal,1,4,5,"[229.0, 272.0]",45.254833995939045,0.7199611961841583,0.05040907859802246,0.9394323825836182,-0.05974724888801575,-2.323757404091038,"[101.0, 193.0]"
normal_0008_EDD,normal,2,4,6,"[219.0, 264.0]",57.01751796098172,0.7234248518943787,0.05765378475189209,0.9340846538543701,-0.05955904722213745,-1.4152835054973978,"[101.0, 193.0]"
normal_0009_EDD,normal,1,4,7,"[203.0, 213.0]",35.918785545899944,0.7323434710502624,0.028471171855926514,0.9868613481521606,-0.06534677743911743,-1.859324307624469,"[101.0, 201.0]"
normal_0009_EDD,normal,2,4,8,"[223.0, 274.0]",57.01751796098172,0.7687788903713226,0.06450945138931274,0.9774062037467957,-0.10042548179626465,-1.4934868371053502,"[101.0, 201.0]"
normal_0009_EDD,normal,3,3,9,"[178.0, 236.0]",90.50966799187809,0.7977239489555359,0.09698271751403809,0.9700055718421936,-0.1086866557598114,0.06549959035589514,"[101.0, 201.0]"
normal_0010_EDD,normal,1,1,10,"[297.0, 196.0]",45.254833995939045,0.7964749991893768,0.089638352394104,0.9719565510749817,-0.13233530521392822,0.6782615580941562,"[283.0, 200.0]"
normal_0010_EDD,normal,2,4,11,"[227.0, 286.0]",57.01751796098172,0.7519944667816162,0.0688663125038147,0.9507735371589661,-0.08793339133262634,-0.7998947789268693,"[283.0, 200.0]"
normal_0010_EDD,normal,3,3,12,"[270.0, 230.0]",90.50966799187809,0.797446471452713,0.12567251920700073,0.9331653714179993,-0.09279096126556396,0.6387616243219721,"[283.0, 200.0]"
normal_0011_EDD,normal,1,4,13,"[255.0, 193.0]",35.918785545899944,0.648344075679779,0.03991669416427612,0.8588418960571289,-0.03619027137756348,-2.6986088737087517,"[123.0, 178.0]"
normal_0013_EDD,normal,1,4,14,"[375.0, 272.0]",35.918785545899944,0.536263033747673,0.02506089210510254,0.7272347807884216,-0.01068897545337677,-2.9963605681820407,"[498.0, 198.0]"
normal_0013_EDD,normal,2,4,15,"[420.0, 281.0]",35.918785545899944,0.5509942978620529,0.03294175863265991,0.736629843711853,-0.012058243155479431,-2.1710169596195854,"[498.0, 198.0]"
normal_0013_EDD,normal,3,4,16,"[400.0, 285.0]",45.254833995939045,0.5589782923460006,0.04411041736602783,0.7317403554916382,-0.013248130679130554,-1.8957302889340362,"[498.0, 198.0]"
normal_0017_EDD,normal,1,4,17,"[220.0, 223.0]",35.918785545899944,0.6781491756439209,0.03078526258468628,0.9150182008743286,-0.03425586223602295,-1.7740177776701818,"[122.0, 205.0]"
normal_0018_EDD,normal,1,4,18,"[400.0, 257.0]",45.254833995939045,0.6866068482398987,0.04361140727996826,0.905434787273407,-0.04595544934272766,-1.516837828754566,"[483.0, 179.0]"
normal_0022_EDD,normal,1,4,19,"[406.0, 174.0]",35.918785545899944,0.7153635323047638,0.04545074701309204,0.9375684261322021,-0.06807443499565125,-2.5597865076151503,"[513.0, 244.0]"
normal_0022_EDD,normal,2,4,20,"[386.0, 254.0]",35.918785545899944,0.6744564116001128,0.02537935972213745,0.9186195731163025,-0.030216753482818604,-2.546698210929442,"[513.0, 244.0]"
normal_0023_EDD,normal,1,4,21,"[243.0, 172.0]",35.918785545899944,0.7304203450679778,0.03943932056427002,0.9659153819084167,-0.07420128583908081,-1.8903300979733455,"[140.0, 185.0]"
normal_0023_EDD,normal,2,1,22,"[145.0, 183.0]",35.918785545899944,0.8106234729290008,0.09529131650924683,0.9888564944267273,-0.11566305160522461,0.8500738617609189,"[140.0, 185.0]"
normal_0025_EDD,normal,1,4,23,"[370.0, 273.0]",35.918785545899944,0.7170088708400726,0.02576833963394165,0.9691586494445801,-0.06414738297462463,-2.4787365129810848,"[493.0, 251.0]"
normal_0025_EDD,normal,2,4,24,"[388.0, 190.0]",45.254833995939045,0.738372141122818,0.03981882333755493,0.9753664135932922,-0.07898414134979248,-1.6833179670885072,"[493.0, 251.0]"
normal_0025_EDD,normal,3,1,25,"[480.0, 195.0]",45.254833995939045,0.7870105624198913,0.07603633403778076,0.9809895753860474,-0.12140762805938721,-0.2703422890111151,"[493.0, 251.0]"
normal_0026_EDD,normal,1,1,26,"[142.0, 182.0]",35.918785545899944,0.7764720261096953,0.06620079278945923,0.9861395955085754,-0.09986758232116699,0.860797075290572,"[138.0, 185.0]"
normal_0026_EDD,normal,2,4,27,"[160.0, 260.0]",35.918785545899944,0.7302148640155791,0.02681267261505127,0.98487788438797,-0.06993836164474487,-1.1760226836956171,"[138.0, 185.0]"
normal_0026_EDD,normal,3,4,28,"[251.0, 170.0]",45.254833995939045,0.7559288084506988,0.04628312587738037,0.9871934056282043,-0.0930514931678772,-1.5188740664233293,"[138.0, 185.0]"
normal_0027_EDD,normal,1,4,29,"[382.0, 179.0]",35.918785545899944,0.6655769854784012,0.025406837463378906,0.9062897562980652,-0.02883659303188324,-2.5111161177552144,"[506.0, 202.0]"
normal_0027_EDD,normal,2,4,30,"[382.0, 306.0]",45.254833995939045,0.6745702654123306,0.04618430137634277,0.8901343941688538,-0.02645944058895111,-2.5761798752299914,"[506.0, 202.0]"
normal_0028_EDD,normal,1,4,31,"[271.0, 153.0]",35.918785545899944,0.7349193990230559,0.02256321907043457,0.996670663356781,-0.07343357801437378,-2.9885949828639875,"[129.0, 172.0]"
normal_0028_EDD,normal,2,4,32,"[113.0, 270.0]",35.918785545899944,0.7263362646102905,0.02798604965209961,0.9892144799232483,-0.02950039505958557,-1.7645013936108955,"[129.0, 172.0]"
normal_0028_EDD,normal,3,4,33,"[96.0, 219.0]",45.254833995939045,0.7329825937747955,0.03460425138473511,0.9884263873100281,-0.03239935636520386,-0.26899628151543453,"[129.0, 172.0]"
normal_0028_EDD,normal,4,2,34,"[134.0, 163.0]",57.01751796098172,0.7433448255062103,0.041226983070373535,0.9922923445701599,-0.03756600618362427,0.8194304047392502,"[129.0, 172.0]"
