image,candidate_num,rating,vessel_ok,class,centre,radius,blob_score,blob_contrast,blob_brightness,blob_response,final_score,vessel_centre
normal_0001_EDD,0,1,9,normal,"[475.0, 205.0]",57.01751796098172,0.7981038630008697,0.1055207848548889,0.95254248380661,-0.1290166974067688,0.464573763701203,"[501.0, 221.0]"
normal_0002_EDD,0,1,9,normal,"[120.0, 191.0]",45.254833995939045,0.8068802237510682,0.0933312177658081,0.9831911325454712,-0.1265760660171508,0.6090626249000999,"[107.0, 179.0]"
normal_0003_EDD,0,1,9,normal,"[468.0, 216.0]",57.01751796098172,0.8117210149765014,0.1047307252883911,0.9725174903869628,-0.1311402320861816,0.4273750138164228,"[493.0, 237.0]"
normal_0004_EDD,0,4,9,normal,"[361.0, 281.0]",45.254833995939045,0.7470295965671538,0.0410305857658386,0.9763960242271424,-0.1126089692115783,-2.598637980194729,"[512.0, 220.0]"
normal_0004_EDD,1,4,9,normal,"[225.0, 272.0]",35.918785545899944,0.7390765726566314,0.0322098731994628,0.9804289937019348,-0.102832019329071,-7.120340301270794,"[512.0, 220.0]"
normal_0005_EDD,0,1,9,normal,"[123.0, 188.0]",45.254833995939045,0.9545757412910462,0.2847442030906677,0.9137779474258424,-0.1509348750114441,0.7423058983988962,"[117.0, 198.0]"
normal_0005_EDD,1,4,9,normal,"[247.0, 149.0]",35.918785545899944,0.499263909459114,0.0313283801078796,0.6654320359230042,-0.0106655210256576,-2.8678378685465096,"[117.0, 198.0]"
normal_0006_EDD,0,1,9,normal,"[345.0, 202.0]",45.254833995939045,0.7824283182621001,0.0920711159706115,0.9510911107063292,-0.1229671239852905,0.6678079433520423,"[360.0, 201.0]"
normal_0006_EDD,1,4,9,normal,"[224.0, 289.0]",35.918785545899944,0.6252746194601059,0.0352782607078552,0.8396366238594055,-0.011253610253334,-3.5098310365625167,"[360.0, 201.0]"
normal_0006_EDD,2,4,9,normal,"[262.0, 201.0]",45.254833995939045,0.7288967072963713,0.0716826319694519,0.916622519493103,-0.0778915584087371,-1.1655145173838015,"[360.0, 201.0]"
normal_0007_EDD,0,1,9,normal,"[322.0, 198.0]",57.01751796098172,0.7901777863502502,0.0938690304756164,0.9573296308517456,-0.1308900713920593,0.5426526696820528,"[300.0, 184.0]"
normal_0008_EDD,0,1,9,normal,"[114.0, 184.0]",35.918785545899944,0.8373738288879394,0.1165119409561157,0.9905526638031006,-0.1373751163482666,0.559801700961275,"[101.0, 193.0]"
normal_0008_EDD,1,4,9,normal,"[229.0, 272.0]",45.254833995939045,0.7199611961841583,0.0504090785980224,0.9394323825836182,-0.0597472488880157,-2.323757404091038,"[101.0, 193.0]"
normal_0008_EDD,2,4,9,normal,"[219.0, 264.0]",57.01751796098172,0.7234248518943787,0.057653784751892,0.93408465385437,-0.0595590472221374,-1.4152835054973978,"[101.0, 193.0]"
normal_0009_EDD,0,1,9,normal,"[112.0, 181.0]",35.918785545899944,0.7989298045635224,0.0814206600189209,0.990494668483734,-0.1208143830299377,0.3645268325718176,"[101.0, 201.0]"
normal_0009_EDD,1,4,9,normal,"[203.0, 213.0]",35.918785545899944,0.7323434710502624,0.0284711718559265,0.9868613481521606,-0.0653467774391174,-1.859324307624469,"[101.0, 201.0]"
normal_0009_EDD,2,4,9,normal,"[223.0, 274.0]",57.01751796098172,0.7687788903713226,0.0645094513893127,0.9774062037467957,-0.1004254817962646,-1.4934868371053502,"[101.0, 201.0]"
